isbn13,title,authors,categories,thumbnail,yearPublished,averageRating
9780872203600,Aristophanes 1,Aristophanes;Peter Meineck,Drama,http://books.google.com/books/content?id=bCK_PER_2RsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1998,3.76
9780872203617,Aristophanes 1,Aristophanes,Drama,http://books.google.com/books/content?id=EUd0SQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,3.76
9780872203945,The Peloponnesian War,Thucydides;Steven Lattimore,History,http://books.google.com/books/content?id=GP2Z7fIYJTwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1998,3.89
9780872204201,Discourse on Method ; and,Ren������ Desca,Philosophy,http://books.google.com/books/content?id=4_zXwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,3.7
9780872204621,Statesman,Plato,Philosophy,http://books.google.com/books/content?id=wCopKxb7pv0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1999,3.84
9780872205543,The Trial and Death of Socrates (Third Edition),Plato;George Maximilian Anthony Grube;John Madison Cooper,Philosophy,http://books.google.com/books/content?id=m2tHXoS3bx0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2000,4.07
9780872206038,Lysistrata,Aristophanes;Sarah Ruden,Literary Criticism,http://books.google.com/books/content?id=ocDfwicPJMwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2003,3.85
9780872206335,Five Dialogues,Plato;George Maximilian Anthony Grube,Philosophy,http://books.google.com/books/content?id=rsITnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.12
9780872206359,Confucius Analects,Confucius;Edward Gilman Slingerland,Philosophy,http://books.google.com/books/content?id=bwl6mwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.84
9780872206786,Complete Poems and Major Prose,John Milton;Merritt Yerkes Hughes,Poetry,http://books.google.com/books/content?id=Kc28ocJWCSMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1957,4.18
9780872207318,Aeneid,Virgil,Aeneas (Legendary character),http://books.google.com/books/content?id=y4rZxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.83
9780872207363,Republic,Plato,Political Science,http://books.google.com/books/content?id=T8X5wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.93
9780872207806,Readings in Classical Chinese Philosophy (Second Edition),Philip J. Ivanhoe;Bryan W. Van Norden,Philosophy,http://books.google.com/books/content?id=5PL9hSUiVEoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2005,3.97
9780872207882,Plato on Love,Plato;C. D. C. Reeve,Philosophy,http://books.google.com/books/content?id=ToP5nQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,4.05
9780872860025,A Hundred Camels in the Courtyard,Paul Bowles,,http://books.google.com/books/content?id=b7Okk4SkWB0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1981,3.98
9780872860193,Kaddish and Other Poems: 1958-1960,Allen Ginsberg,Poetry,http://books.google.com/books/content?id=IczYnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1961,4.19
9780872861909,Erotism,Georges Bataille,Philosophy,http://books.google.com/books/content?id=2qdUZZLcnLYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1962,4.1
9780872862913,The Scripture of the Golden Eternity,Jack Kerouac,Literary Criticism,http://books.google.com/books/content?id=hqLO7pi93iUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1960,3.95
9780872863101,Howl and Other Poems,Allen Ginsberg,,http://books.google.com/books/content?id=QIWjPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.13
9780872864757,A Power Governments Cannot Suppress,Howard Zinn,History,http://books.google.com/books/content?id=FiGX0LEy4jMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2007,4.27
9780873387804,Chekhov's Doctors,Anton Pavlovich Chekhov;Jack Coulehan;John L. Coulehan,Literary Collections,http://books.google.com/books/content?id=mSvsP3m78Q4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2003,4.06
9780873512695,Early Candlelight,Maud Hart Lovelace,Fiction,http://books.google.com/books/content?id=XH_EwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1992,3.66
9780873515122,The St. Paul Stories of F. Scott Fitzgerald,Francis Scott Fitzgerald;Patricia Hampl,Fiction,http://books.google.com/books/content?id=ZATywAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.97
